region sanitaria,partido,dependencia,nombre,especialidad,año,cant_camas_criticas
III,GRAL PINTO,Municipales,Hosp. Munic. Dr. Alberto L. Videla,TERAPIA INTENSIVA,2015,4
III,LINCOLN,Municipales,Hosp.Subz. Munic. Dr. R. O. Miravalle,TERAPIA INTENSIVA,2015,4
III,CHACABUCO,Municipales,Hosp. Munic. Ntra. Sra. del Carmen,TERAPIA INTENSIVA,2014,3
IV,ARRECIFES,Municipales,Hosp. Munic. Santa Francisca Romana,TERAPIA INTENSIVA,2009,4
IV,BARADERO,Municipales,Hosp. Subz. Gral. Dr. L. Piñeiro,TERAPIA INTENSIVA,2009,4
IV,COLON,Municipales,Hosp. Munic. de Colón,TERAPIA INTENSIVA,2009,4
IV,ROJAS,Municipales,Hosp. Subz. Gral. S. Unzué,TERAPIA INTENSIVA,2009,5
IV,SALTO,Municipales,"Hosp. Munic. de Salto """"Presidente J. D. Perón""",TERAPIA INTENSIVA,2009,5
IV,SAN ANDRES DE GILES,Municipales,Hosp. Munic. San Andrés,TERAPIA INTENSIVA,2009,6
IV,SAN ANDRES DE GILES,Municipales,Hosp. Munic. San Andrés,UNIDAD CORONARIA,2009,5
IV,SAN ANTONIO DE ARECO,Municipales,Hosp. Munic. Emilio Zerboni,TERAPIA INTENSIVA,2009,4
IV,SAN PEDRO,Municipales,Hosp. Subz. Gral. Dr. E. Ruffo,TERAPIA INTENSIVA,2009,3
IV,CARMEN DE ARECO,Provinciales,Hosp. Local Gral. Ntra. Sra. del Carmen,TERAPIA INTENSIVA,2009,4
IV,PERGAMINO,Provinciales,Hosp. Interz. Gral. de Ag. San José,TERAPIA INTENSIVA,2009,7
IV,PERGAMINO,Provinciales,Hosp. Interz. Gral. de Ag. San José,TERAPIA INTENSIVA INFANTIL,2009,5
IV,SAN NICOLAS,Provinciales,Hosp. Interz. Gral. de Ag. San Felipe,TERAPIA INTENSIVA,2009,12
IV,SAN NICOLAS,Provinciales,Hosp. Interz. Gral. de Ag. San Felipe,TERAPIA INTENSIVA INFANTIL,2009,8
IV,SAN NICOLAS,Provinciales,Hosp. Interz. Gral. de Ag. San Felipe,TERAPIA INTENSIVA NEONATOLOGICA,2009,12
IV,ARRECIFES,Municipales,Hosp. Munic. Santa Francisca Romana,TERAPIA INTENSIVA,2010,4
IV,BARADERO,Municipales,Hosp. Subz. Gral. Dr. L. Piñeiro,TERAPIA INTENSIVA,2010,4
IV,COLON,Municipales,Hosp. Munic. de Colón,TERAPIA INTENSIVA,2010,4
V,CAMPANA,Municipales,Hospital San José,CUIDADOS INTENSIVOS,2009,4
V,CAMPANA,Municipales,Hospital San José,CUIDADOS INTENSIVOS,2010,4
V,CAMPANA,Municipales,Hospital San José,CUIDADOS INTENSIVOS,2011,4
V,CAMPANA,Municipales,Hospital San José,CUIDADOS INTENSIVOS,2012,4
V,CAMPANA,Municipales,Hospital San José,CUIDADOS INTENSIVOS,2013,4
V,CAMPANA,Municipales,Hospital San José,TERAPIA INTENSIVA,2014,7
V,CAMPANA,Municipales,Hospital San José,CUIDADOS INTENSIVOS,2014,4
V,CAMPANA,Municipales,Hospital San José,TERAPIA INTENSIVA,2015,7
V,CAMPANA,Municipales,Hospital San José,TERAPIA INTENSIVA,2016,7
V,CAMPANA,Municipales,Hospital San José,UNIDAD CORONARIA,2016,9
V,EXALTACION DE LA CRUZ,Municipales,Hosp. Munic. San José,TERAPIA INTENSIVA,2009,4
V,EXALTACION DE LA CRUZ,Municipales,Hosp. Munic. San José,TERAPIA INTENSIVA,2010,4
V,EXALTACION DE LA CRUZ,Municipales,Hosp. Munic. San José,TERAPIA INTENSIVA,2011,4
V,EXALTACION DE LA CRUZ,Municipales,Hosp. Munic. San José,TERAPIA INTENSIVA,2012,4
V,EXALTACION DE LA CRUZ,Municipales,Hosp. Munic. San José,TERAPIA INTENSIVA,2013,4
V,EXALTACION DE LA CRUZ,Municipales,Hosp. Munic. San José,TERAPIA INTENSIVA,2014,6
V,EXALTACION DE LA CRUZ,Municipales,Hosp. Munic. San José,TERAPIA INTENSIVA,2015,8
V,EXALTACION DE LA CRUZ,Municipales,Hosp. Munic. San José,TERAPIA INTENSIVA,2016,8
V,GRAL SAN MARTIN,Municipales,Hosp. Munic. Dr. D. E. Thompson,TERAPIA INTENSIVA,2009,7
V,GRAL SAN MARTIN,Municipales,Hosp. Munic. Dr. D. E. Thompson,CUIDADOS INTENSIVOS,2010,7
V,GRAL SAN MARTIN,Municipales,Hosp. Munic. Dr. D. E. Thompson,CUIDADOS INTENSIVOS,2011,7
V,GRAL SAN MARTIN,Municipales,Hosp. Munic. Dr. D. E. Thompson,CUIDADOS INTENSIVOS,2012,7
V,GRAL SAN MARTIN,Municipales,Hosp. Munic. Dr. D. E. Thompson,CUIDADOS INTENSIVOS,2013,7
V,GRAL SAN MARTIN,Municipales,Hosp. Munic. Dr. D. E. Thompson,CUIDADOS INTENSIVOS,2014,7
V,GRAL SAN MARTIN,Municipales,Hosp. Munic. Dr. D. E. Thompson,CUIDADOS INTENSIVOS,2015,7
V,GRAL SAN MARTIN,Municipales,Hosp. Munic. Dr. D. E. Thompson,CUIDADOS INTENSIVOS,2016,7
V,MALVINAS ARGENTINAS,Municipales,Ctro. de Alta Compl. Cardiovasc. Pte. J. D. Perón,TERAPIA INTENSIVA,2009,14
V,MALVINAS ARGENTINAS,Municipales,Ctro. de Alta Compl. Cardiovasc. Pte. J. D. Perón,UNIDAD CORONARIA,2009,18
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA,2009,17
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA INFANTIL,2009,10
V,MALVINAS ARGENTINAS,Municipales,Ctro. de Alta Compl. Cardiovasc. Pte. J. D. Perón,TERAPIA INTENSIVA,2010,9
V,MALVINAS ARGENTINAS,Municipales,Ctro. de Alta Compl. Cardiovasc. Pte. J. D. Perón,UNIDAD CORONARIA,2010,20
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA,2010,18
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA INFANTIL,2010,11
VI,ALMIRANTE BROWN,Provinciales,Hosp. Zonal Gral. de Ag. Dr. Lucio Meléndez,TERAPIA INTENSIVA,2016,5
VI,ALMIRANTE BROWN,Provinciales,Hosp. Zonal Gral. de Ag. Dr. Lucio Meléndez,TERAPIA INTENSIVA INFANTIL,2016,8
VI,ALMIRANTE BROWN,Provinciales,Hosp. Zonal Gral. de Ag. Dr. Lucio Meléndez,TERAPIA INTENSIVA NEONATOLOGICA,2016,8
VI,ALMIRANTE BROWN,Provinciales,Hosp. Zonal. Gral. Ag. Dr. Arturo Oñativia,TERAPIA INTENSIVA,2016,9
VI,ALMIRANTE BROWN,Provinciales,Hosp. Zonal. Gral. Ag. Dr. Arturo Oñativia,TERAPIA INTENSIVA NEONATOLOGICA,2016,6
VI,AVELLANEDA,Municipales,Hosp. Munic. Dr. Eduardo Wilde,TERAPIA INTENSIVA,2016,6
VI,AVELLANEDA,Provinciales,Hosp. Subz. Mat. Infantil Ana Goittia,TERAPIA INTENSIVA NEONATOLOGICA,2016,6
VI,AVELLANEDA,Provinciales,Hosp. Interz. Gral. de Ag. Dr. Pedro Fiorito,TERAPIA INTENSIVA,2016,12
VI,AVELLANEDA,Provinciales,Hosp. Interz. Gral. de Ag. Dr. Pedro Fiorito,UNIDAD CORONARIA,2016,6
VI,AVELLANEDA,Provinciales,Hosp. Interz. Gral. de Ag. Pte. Perón,TERAPIA INTENSIVA,2016,8
VI,AVELLANEDA,Provinciales,Hosp. Interz. Gral. de Ag. Pte. Perón,TERAPIA INTENSIVA NEONATOLOGICA,2016,3
VI,AVELLANEDA,Provinciales,Hosp. Interz. Gral. de Ag. Pte. Perón,UNIDAD CORONARIA,2016,7
VI,BERAZATEGUI,Provinciales,Hosp. Zonal Gral. de Ag. Evita Pueblo,TERAPIA INTENSIVA,2016,8
VI,BERAZATEGUI,Provinciales,Hosp. Zonal Gral. de Ag. Evita Pueblo,TERAPIA INTENSIVA NEONATOLOGICA,2016,25
VI,ESTEBAN ECHEVERRIA,Municipales,Policlínico S. T. Santamarina,TERAPIA INTENSIVA,2016,7
VI,ESTEBAN ECHEVERRIA,Municipales,Policlínico S. T. Santamarina,TERAPIA INTENSIVA NEONATOLOGICA,2016,7
VI,EZEIZA,Provinciales,Hospital Interzonal Gral. Agudos Eurnekian,TERAPIA INTENSIVA,2016,6
VI,EZEIZA,Provinciales,Hospital Interzonal Gral. Agudos Eurnekian,TERAPIA INTENSIVA NEONATOLOGICA,2016,8
VI,FLORENCIO VARELA,Provinciales,Hosp. Zonal Gral. de Ag. Mi Pueblo,TERAPIA INTENSIVA,2016,10
VI,FLORENCIO VARELA,Provinciales,Hosp. Zonal Gral. de Ag. Mi Pueblo,TERAPIA INTENSIVA NEONATOLOGICA,2016,23
VI,FLORENCIO VARELA,Provinciales,Hosp. de Alta Compl. El Cruce,ADMISION PACIENTE CRITICO,2016,11
VI,FLORENCIO VARELA,Provinciales,Hosp. de Alta Compl. El Cruce,TERAPIA INTENSIVA,2016,24
VI,FLORENCIO VARELA,Provinciales,Hosp. de Alta Compl. El Cruce,UNIDAD CORONARIA,2016,24
VI,FLORENCIO VARELA,Provinciales,Hosp. de Alta Compl. El Cruce,TERAPIA INTENSIVA INFANTIL,2016,26
VI,LANUS,Provinciales,Hosp. Zonal Gral. de Ag. Narciso López,TERAPIA INTENSIVA,2016,4
VI,LANUS,Provinciales,Hosp. Zonal Gral. de Ag. Narciso López,UNIDAD CORONARIA,2016,5
VI,LANUS,Provinciales,Hosp. Zonal Gral. de Ag. Narciso López,TERAPIA INTENSIVA NEONATOLOGICA,2016,3
VI,LANUS,Provinciales,Hosp. Interz. Gral. de Ag. Evita,TERAPIA INTENSIVA,2016,8
VI,LANUS,Provinciales,Hosp. Interz. Gral. de Ag. Evita,UNIDAD CORONARIA,2016,8
VI,LANUS,Provinciales,Hosp. Interz. Gral. de Ag. Evita,CUIDADOS INTENSIVOS PEDIATRICOS,2016,5
VI,LANUS,Provinciales,Hosp. Interz. Gral. de Ag. Evita,TERAPIA INTENSIVA NEONATOLOGICA,2016,5
VI,LOMAS DE ZAMORA,Municipales,Hosp. Mat. Infantil Dr. Oscar E. Alende,TERAPIA INTENSIVA INFANTIL,2016,6
VI,LOMAS DE ZAMORA,Municipales,Hosp. Mat. Infantil Dr. Oscar E. Alende,TERAPIA INTENSIVA NEONATOLOGICA,2016,12
VI,LOMAS DE ZAMORA,Provinciales,Hosp. Interz. Gral. de Ag. Luisa C. de Gandulfo,TERAPIA INTENSIVA,2016,8
VI,LOMAS DE ZAMORA,Provinciales,Hosp. Interz. Gral. de Ag. Luisa C. de Gandulfo,UNIDAD CORONARIA,2016,5
VI,LOMAS DE ZAMORA,Provinciales,Hosp. Interz. Gral. de Ag. Luisa C. de Gandulfo,TERAPIA INTENSIVA NEONATOLOGICA,2016,16
VI,QUILMES,Municipales,Hosp. Subz. Esp. Mat. Infantil Dr. Eduardo Oller,TERAPIA INTENSIVA NEONATOLOGICA,2016,11
VI,QUILMES,Provinciales,Hosp. Zonal Gral. de Ag. Dr. I. Iriarte,TERAPIA INTENSIVA,2016,10
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA,2016,9
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA INFANTIL,2016,6
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA NEONATOLOGICA,2016,17
VII,GRAL RODRIGUEZ,Nacionales,Hosp. Nac. Dr. Baldomero Sommer,CUIDADOS INTENSIVOS,2016,12
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA,2015,10
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA NEONATOLOGICA,2015,16
VII,GRAL RODRIGUEZ,Nacionales,Hosp. Nac. Dr. Baldomero Sommer,CUIDADOS INTENSIVOS,2015,13
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes(año 2013),TERAPIA INTENSIVA,2014,11
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes(año 2013),TERAPIA INTENSIVA INFANTIL,2014,6
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes(año 2013),TERAPIA INTENSIVA NEONATOLOGICA,2014,21
VII,GRAL RODRIGUEZ,Nacionales,Hosp. Nac. Dr. Baldomero Sommer,CUIDADOS INTENSIVOS,2014,14
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA,2013,11
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA INFANTIL,2013,6
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA NEONATOLOGICA,2013,21
VII,GRAL RODRIGUEZ,Nacionales,Hosp. Nac. Dr. Baldomero Sommer,CUIDADOS INTENSIVOS,2013,16
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA,2012,11
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA INFANTIL,2012,5
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA NEONATOLOGICA,2012,22
VII,GRAL RODRIGUEZ,Nacionales,Hosp. Nac. Dr. Baldomero Sommer,CUIDADOS INTENSIVOS,2012,17
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA,2011,11
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA INFANTIL,2011,8
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA NEONATOLOGICA,2011,20
VII,GRAL RODRIGUEZ,Nacionales,Hosp. Nac. Dr. Baldomero Sommer,CUIDADOS INTENSIVOS,2011,16
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA,2010,11
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA INFANTIL,2010,7
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA NEONATOLOGICA,2010,28
VII,GRAL RODRIGUEZ,Nacionales,Hosp. Nac. Dr. Baldomero Sommer,CUIDADOS INTENSIVOS,2010,16
VIII,AYACUCHO,Municipales,Hosp. Local Munic. Dr. Pedro Solanet,TERAPIA INTENSIVA,2016,5
VIII,BALCARCE,Municipales,Hosp. Subz. Munic. de Balcarce,TERAPIA INTENSIVA,2016,7
VIII,GRAL ALVARADO,Municipales,Hosp. Munic. Dr. Mariano Cassano,TERAPIA INTENSIVA,2016,4
VIII,GRAL MADARIAGA,Municipales,Hosp. Munic. Ana R. S. de Martínez Guerrero,TERAPIA INTENSIVA,2016,2
VIII,GRAL PUEYRREDON,Provinciales,Hosp. Interz. Esp. Mat. Infantil Don V. Tetamanti,TERAPIA INTENSIVA INFANTIL,2016,8
VIII,GRAL PUEYRREDON,Provinciales,Hosp. Interz. Esp. Mat. Infantil Don V. Tetamanti,TERAPIA INTENSIVA NEONATOLOGICA,2016,22
VIII,GRAL PUEYRREDON,Provinciales,Hosp. Interz. Gral. de Ag. Dr. O. Alende,TERAPIA INTENSIVA,2016,15
VIII,GRAL PUEYRREDON,Provinciales,Hosp. Interz. Gral. de Ag. Dr. O. Alende,UNIDAD CORONARIA,2016,8
VIII,LA COSTA,Municipales,Hosp. Munic. Carlos F. Macías,TERAPIA INTENSIVA,2016,4
VIII,LA COSTA,Municipales,Unid. Munic. Roberto L. Dios,TERAPIA INTENSIVA,2016,1
VIII,LOBERIA,Municipales,Hosp. Munic. Gaspar Campos,TERAPIA INTENSIVA,2016,4
VIII,MAIPU,Municipales,Hosp. Subz. de Maipú,TERAPIA INTENSIVA,2016,4
VIII,NECOCHEA,Municipales,Hosp. Munic. Dr. Emilio Ferreyra,TERAPIA INTENSIVA,2016,6
VIII,SAN CAYETANO,Municipales,Hosp. Munic. Alberto Menditeguy,TERAPIA INTENSIVA,2016,4
VIII,TANDIL,Municipales,Hosp. Munic. Ramón Santamarina,TERAPIA INTENSIVA,2016,6
VIII,VILLA GESELL,Municipales,Hosp. Munic. de Ag. Dr. Arturo Illia,TERAPIA INTENSIVA,2016,3
IX,AZUL,Municipales,Hosp. Munic. Dr. Angel Pintos,CUIDADOS ESPECIALES,2016,15
IX,AZUL,Municipales,Hosp. Munic. Dr. Angel Pintos,TERAPIA INTENSIVA,2016,6
IX,BENITO JUAREZ,Municipales,Ente Descent. Hosp. Dr. A. Saintout,TERAPIA INTENSIVA,2016,5
IX,BOLIVAR,Municipales,Hosp. Subz. Gral. Dr. M. A. Capredoni,TERAPIA INTENSIVA,2016,6
IX,GRAL LA MADRID,Municipales,Hosp. Munic. M. Etchegaray,TERAPIA INTENSIVA,2016,4
IX,LAPRIDA,Municipales,Hosp. Dr. Pedro S. Sancholuz,TERAPIA INTENSIVA,2016,5
IX,OLAVARRIA,Municipales,Hosp. Zonal Munic. Dr. Héctor Cura,TERAPIA INTENSIVA,2016,9
IX,OLAVARRIA,Municipales,Hosp. Zonal Munic. Dr. Héctor Cura,UNIDAD CORONARIA,2016,5
IX,OLAVARRIA,Municipales,Hosp. Zonal Munic. Dr. Héctor Cura,TERAPIA INTENSIVA INFANTIL,2016,4
IX,RAUCH,Municipales,Hosp. Munic. Gral. E. Díaz Vélez,TERAPIA INTENSIVA,2016,4
IX,AZUL,Municipales,Hosp. Munic. Dr. Angel Pintos,CUIDADOS ESPECIALES,2015,15
IX,AZUL,Municipales,Hosp. Munic. Dr. Angel Pintos,TERAPIA INTENSIVA,2015,6
IX,BENITO JUAREZ,Municipales,Ente Descent. Hosp. Dr. A. Saintout,TERAPIA INTENSIVA,2015,5
IX,BOLIVAR,Municipales,Hosp. Subz. Gral. Dr. M. A. Capredoni,TERAPIA INTENSIVA,2015,6
X,ALBERTI,Municipales,Hosp. Munic. Ntra. Sra. de la Merced,TERAPIA INTENSIVA,2016,4
X,ALBERTI,Municipales,Hosp. Munic. Ntra. Sra. de la Merced,TERAPIA INTENSIVA,2015,4
X,ALBERTI,Municipales,Hosp. Munic. Ntra. Sra. de la Merced,TERAPIA INTENSIVA,2014,4
X,ALBERTI,Municipales,Hosp. Munic. Ntra. Sra. de la Merced,TERAPIA INTENSIVA,2013,4
X,ALBERTI,Municipales,Hosp. Munic. Ntra. Sra. de la Merced,TERAPIA INTENSIVA,2012,4
X,ALBERTI,Municipales,Hosp. Munic. Ntra. Sra. de la Merced,TERAPIA INTENSIVA,2011,4
X,ALBERTI,Municipales,Hosp. Munic. Ntra. Sra. de la Merced,TERAPIA INTENSIVA,2010,4
X,ALBERTI,Municipales,Hosp. Munic. Ntra. Sra. de la Merced,TERAPIA INTENSIVA,2009,4
X,BRAGADO,Municipales,Hosp. Munic. San Luis,TERAPIA INTENSIVA,2016,3
X,BRAGADO,Municipales,Hosp. Munic. San Luis,TERAPIA INTENSIVA,2015,4
X,VEINTICINCO DE MAYO,Municipales,Hosp. Subz. Saturnino Unzué,TERAPIA INTENSIVA,2016,8
XI,BERISSO,Provinciales,Hosp. Zonal Gral. de Agudos Dr. M. V. Larraín,TERAPIA INTENSIVA,2016,9
XI,BERISSO,Provinciales,Hosp. Zonal Gral. de Agudos Dr. M. V. Larraín,TERAPIA INTENSIVA,2015,9
XI,BERISSO,Provinciales,Hosp. Zonal Gral. de Agudos Dr. M. V. Larraín,TERAPIA INTENSIVA,2014,9
XI,BERISSO,Provinciales,Hosp. Zonal Gral. de Agudos Dr. M. V. Larraín,TERAPIA INTENSIVA,2013,9
XI,BERISSO,Provinciales,Hosp. Zonal Gral. de Agudos Dr. M. V. Larraín,TERAPIA INTENSIVA,2012,9
XI,BERISSO,Provinciales,Hosp. Zonal Gral. de Agudos Dr. M. V. Larraín,TERAPIA INTENSIVA,2011,9
XI,BERISSO,Provinciales,Hosp. Zonal Gral. de Agudos Dr. M. V. Larraín,TERAPIA INTENSIVA,2010,9
XI,BERISSO,Provinciales,Hosp. Zonal Gral. de Agudos Dr. M. V. Larraín,TERAPIA INTENSIVA,2009,7
XI,CHASCOMUS,Municipales,Hosp. San Vicente de Paul,TERAPIA INTENSIVA,2016,6
XI,CHASCOMUS,Municipales,Hosp. San Vicente de Paul,TERAPIA INTENSIVA,2015,6
XI,CHASCOMUS,Municipales,Hosp. San Vicente de Paul,TERAPIA INTENSIVA,2014,6
XI,CHASCOMUS,Municipales,Hosp. San Vicente de Paul,TERAPIA INTENSIVA,2013,6
XI,CHASCOMUS,Municipales,Hosp. San Vicente de Paul,TERAPIA INTENSIVA,2012,6
XI,CHASCOMUS,Municipales,Hosp. San Vicente de Paul,TERAPIA INTENSIVA,2011,6
XI,CHASCOMUS,Municipales,Hosp. San Vicente de Paul,TERAPIA INTENSIVA,2010,6
XI,CHASCOMUS,Municipales,Hosp. San Vicente de Paul,TERAPIA INTENSIVA,2009,6
XI,CORONEL BRANDSEN,Municipales,Hosp. Munic. Dr. Francisco Caram,TERAPIA INTENSIVA,2016,4
XI,CORONEL BRANDSEN,Municipales,Hosp. Munic. Dr. Francisco Caram,TERAPIA INTENSIVA,2015,4
XI,CORONEL BRANDSEN,Municipales,Hosp. Munic. Dr. Francisco Caram,TERAPIA INTENSIVA,2014,4
XI,CORONEL BRANDSEN,Municipales,Hosp. Munic. Dr. Francisco Caram,TERAPIA INTENSIVA,2013,4
XI,CORONEL BRANDSEN,Municipales,Hosp. Munic. Dr. Francisco Caram,TERAPIA INTENSIVA,2012,4
XI,CORONEL BRANDSEN,Municipales,Hosp. Munic. Dr. Francisco Caram,TERAPIA INTENSIVA,2011,4
XI,CORONEL BRANDSEN,Municipales,Hosp. Munic. Dr. Francisco Caram,TERAPIA INTENSIVA,2010,4
XI,SAN VICENTE,Municipales,Hosp. Subz. Gral. Dr. R. Carrillo,TERAPIA INTENSIVA,2016,4
XII,LA MATANZA,Municipales,Hosp. Mat. Infantil Dra. T. L. Germani,CUIDADOS ESPECIALES,2016,2
XII,LA MATANZA,Municipales,Hosp. Munic. de Niños de San Justo,TERAPIA INTENSIVA INFANTIL,2016,9
XII,LA MATANZA,Municipales,Policlínico Central San Justo,CUIDADOS ESPECIALES,2016,3
XII,LA MATANZA,Provinciales,Hosp. Interz. Gral. de Ag. Dr. Paroissien,TERAPIA INTENSIVA,2016,7
XII,LA MATANZA,Provinciales,Hosp. Interz. Gral. de Ag. Dr. Paroissien,UNIDAD CORONARIA,2016,7
XII,LA MATANZA,Provinciales,Hosp. Interz. Gral. de Ag. Dr. Paroissien,TERAPIA INTENSIVA NEONATOLOGICA,2016,13
XII,LA MATANZA,Provinciales,Hosp. Zonal de Ag. de González Catán Km.32,TERAPIA INTENSIVA,2016,12
XII,LA MATANZA,Provinciales,Hospital Zonal General de Agudos Dr. Alberto Balestrini,CUIDADOS INTENSIVOS,2016,13
I,CORONEL PRINGLES,Municipales,Hosp. Munic. Dr. Cabrera,TERAPIA INTENSIVA,2015,4
I,CORONEL SUAREZ,Municipales,Hosp. Munic. de Cnel. Suárez,TERAPIA INTENSIVA,2015,4
I,PUAN,Municipales,Hosp. Munic. Gobernador Ugarte,TERAPIA INTENSIVA,2015,4
I,SAAVEDRA,Municipales,Hosp. y Maternidad Munic. O. F. Ducos,TERAPIA INTENSIVA,2015,4
I,TRES ARROYOS,Municipales,Hosp. Ignacio Pirovano,TERAPIA INTENSIVA,2015,5
I,BAHIA BLANCA,Municipales,Hosp. Munic. de Agudos Dr. Leónidas Lucero,TERAPIA INTENSIVA,2014,13
I,CARMEN DE PATAGONES,Municipales,Hosp. Munic. de Agudos Dr. Pedro Ecay,TERAPIA INTENSIVA,2014,4
I,CORONEL PRINGLES,Municipales,Hosp. Munic. Dr. Cabrera,TERAPIA INTENSIVA,2014,4
I,CORONEL SUAREZ,Municipales,Hosp. Munic. de Cnel. Suárez,TERAPIA INTENSIVA,2014,4
II,CARLOS CASARES,Municipales,Hosp. Munic. Dr. Julio F. Ramos,TERAPIA INTENSIVA,2015,5
II,NUEVE DE JULIO,Provinciales,Hosp. Zonal Gral. de Ag. Julio de Vedia,TERAPIA INTENSIVA,2015,3
II,TRENQUE LAUQUEN,Municipales,Hosp. Munic. Dr. Pedro T. Orellana,TERAPIA INTENSIVA,2015,12
